Id,SalePrice
1461,120408.90798056962
1462,152584.81655396632
1463,185114.04684040206
1464,198356.68816461094
1465,187066.35035208226
1466,172796.4187696008
1467,175351.90344858536
1468,164215.64784585405
1469,191658.93094127238
1470,119826.28157341458
1471,187713.51352258204
1472,96321.61152378708
1473,95072.10384677423
1474,149114.29978181876
1475,121400.7851615806
1476,365039.53722366
1477,249883.23655758455
1478,289915.35380375606
1479,288165.01346208993
1480,523056.7653145296
1481,324124.6095273284
1482,204668.86699044087
1483,174259.93711404738
1484,165763.68557243844
1485,178475.9614107713
1486,194207.5931720201
1487,338710.2728806964
1488,238802.66536062286
1489,202124.0371295996
1490,229517.07976088751
1491,190921.26057673068
1492,92481.87828697005
1493,182816.1604527635
1494,290033.48365623143
1495,285634.8233543756
1496,237942.0320046636
1497,184979.6274690003
1498,167225.85414340705
1499,162606.70057810203
1500,155565.08916065138
1501,177161.61279081405
1502,151354.9327432687
1503,289774.7374727956
1504,244452.58312077937
1505,229185.56307320384
1506,187930.69573357128
1507,254363.83447713903
1508,195904.32090612547
1509,163237.78524041484
1510,146195.32717345285
1511,147004.1149731388
1512,171752.9965793177
1513,145541.2612130651
1514,154616.27105556914
1515,193899.15637757533
1516,149656.22528235664
1517,167337.02860078384
1518,132451.20416655968
1519,220384.38829037204
1520,132110.18876308415
1521,134102.11366187106
1522,174464.6439934432
1523,113804.92123191852
1524,121926.6865456306
1525,123709.21033024507
1526,113026.12126359131
1527,108782.17206420994
1528,133669.25544998664
1529,148157.04612998516
1530,183838.4982730952
1531,106555.98202944662
1532,99066.12193601504
1533,143727.32438145264
1534,120704.13402399654
1535,148156.5107417493
1536,106390.24317446005
1537,42977.08520534508
1538,150927.5761310676
1539,186790.66152652635
1540,94633.8387583512
1541,137433.30041718096
1542,136933.50147755598
1543,195106.2935252009
1544,83152.12349632401
1545,112354.59032935656
1546,126970.51561646629
1547,127656.82228997748
1548,136275.56127920208
1549,116526.03236983248
1550,135181.05131919822
1551,108907.89354230647
1552,137037.95526628298
1553,145850.71528073822
1554,120244.87919392272
1555,164848.8461544786
1556,82982.10126940385
1557,102241.19319800641
1558,96012.86738062715
1559,79642.371029848
1560,130918.44259261551
1561,131712.02046987583
1562,130264.98405180544
1563,122018.15528877081
1564,157934.4954942897
1565,149351.79539960308
1566,241604.9458073343
1567,77469.3177741737
1568,232798.44321025573
1569,128518.19520402962
1570,136712.80148359213
1571,116277.03741161531
1572,144544.07762704638
1573,250220.3335738022
1574,122092.83302393675
1575,227571.09891946721
1576,237487.77424678422
1577,187167.32374306358
1578,145874.39768973002
1579,142491.3880586376
1580,192483.25482970345
1581,154186.87783329995
1582,127670.2180942505
1583,309757.5593700644
1584,227269.0171535075
1585,138132.4338039317
1586,77203.3040232718
1587,101042.03114750047
1588,152914.39299502817
1589,98459.90216093576
1590,133732.51981587213
1591,95515.47628751014
1592,117591.70610367578
1593,126069.37012209474
1594,128132.09526036413
1595,105937.35979917277
